2025-04-14 16:09:29.065 [http-nio-8888-exec-8] WARN  org.apache.catalina.connector.Request - Creating the temporary upload location [C:\Users\Administrator\AppData\Local\Temp\tomcat.8888.6294279333878747287\work\Tomcat\localhost\ROOT] as it is required by the servlet [dispatcherServlet]
2025-04-14 19:36:44.599 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.asa.back.mapper]' package. Please check your configuration.
2025-04-14 19:41:20.793 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.asa.back.mapper]' package. Please check your configuration.
2025-04-14 19:42:04.204 [http-nio-8888-exec-10] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.mybatis.spring.MyBatisSystemException: nested exception is org.apache.ibatis.reflection.ReflectionException: Could not set property 'itemId' of 'class com.asa.entity.QuestionItem' with value '1911746774117220354' Cause: java.lang.IllegalArgumentException: argument type mismatch]
2025-04-14 19:44:20.079 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.asa.back.mapper]' package. Please check your configuration.
2025-04-14 19:45:21.232 [http-nio-8888-exec-10] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.dao.DataIntegrityViolationException: <EOL><EOL>### Error updating database.  Cause: com.mysql.cj.jdbc.exceptions.MysqlDataTruncation: Data truncation: Out of range value for column 'item_id' at row 1<EOL><EOL>### The error may exist in com/asa/mapper/QuestionItemMapper.java (best guess)<EOL><EOL>### The error may involve com.asa.mapper.QuestionItemMapper.insert-Inline<EOL><EOL>### The error occurred while setting parameters<EOL><EOL>### SQL: INSERT INTO question_item  ( item_id, item, create_time, update_time, delete_flag, version )  VALUES  ( ?, ?, ?, ?, ?, ? )<EOL><EOL>### Cause: com.mysql.cj.jdbc.exceptions.MysqlDataTruncation: Data truncation: Out of range value for column 'item_id' at row 1<EOL>; Data truncation: Out of range value for column 'item_id' at row 1; nested exception is com.mysql.cj.jdbc.exceptions.MysqlDataTruncation: Data truncation: Out of range value for column 'item_id' at row 1]
2025-04-14 19:47:46.903 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.asa.back.mapper]' package. Please check your configuration.
2025-04-14 19:49:18.377 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.asa.back.mapper]' package. Please check your configuration.
2025-04-14 19:49:43.538 [http-nio-8888-exec-10] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.dao.DataIntegrityViolationException: <EOL><EOL>### Error updating database.  Cause: java.sql.SQLException: Field 'item_id' doesn't have a default value<EOL><EOL>### The error may exist in com/asa/mapper/QuestionItemMapper.java (best guess)<EOL><EOL>### The error may involve com.asa.mapper.QuestionItemMapper.insert-Inline<EOL><EOL>### The error occurred while setting parameters<EOL><EOL>### SQL: INSERT INTO question_item  ( item, create_time, update_time, delete_flag, version )  VALUES  ( ?, ?, ?, ?, ? )<EOL><EOL>### Cause: java.sql.SQLException: Field 'item_id' doesn't have a default value<EOL>; Field 'item_id' doesn't have a default value; nested exception is java.sql.SQLException: Field 'item_id' doesn't have a default value]
2025-04-14 19:50:34.200 [http-nio-8888-exec-8] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.dao.DataIntegrityViolationException: <EOL><EOL>### Error updating database.  Cause: java.sql.SQLException: Field 'item_id' doesn't have a default value<EOL><EOL>### The error may exist in com/asa/mapper/QuestionItemMapper.java (best guess)<EOL><EOL>### The error may involve com.asa.mapper.QuestionItemMapper.insert-Inline<EOL><EOL>### The error occurred while setting parameters<EOL><EOL>### SQL: INSERT INTO question_item  ( item, create_time, update_time, delete_flag, version )  VALUES  ( ?, ?, ?, ?, ? )<EOL><EOL>### Cause: java.sql.SQLException: Field 'item_id' doesn't have a default value<EOL>; Field 'item_id' doesn't have a default value; nested exception is java.sql.SQLException: Field 'item_id' doesn't have a default value]
2025-04-14 21:30:49.244 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.asa.back.mapper]' package. Please check your configuration.
2025-04-14 22:07:39.308 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.asa.back.mapper]' package. Please check your configuration.
2025-04-14 22:09:22.680 [http-nio-8888-exec-4] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageConversionException: Type definition error: [simple type, class java.sql.Blob]; nested exception is com.fasterxml.jackson.databind.exc.InvalidDefinitionException: Cannot construct instance of `java.sql.Blob` (no Creators, like default constructor, exist): abstract types either need to be mapped to concrete types, have custom deserializer, or contain additional type information<EOL> at [Source: (org.springframework.util.StreamUtils$NonClosingInputStream); line: 2, column: 13] (through reference chain: com.asa.service.vo.QuestionsVo["answer"])]
2025-04-14 22:15:57.780 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.asa.back.mapper]' package. Please check your configuration.
2025-04-14 22:16:24.520 [main] WARN  org.apache.velocity.deprecation - configuration key 'file.resource.loader.unicode' has been deprecated in favor of 'resource.loader.file.unicode'
2025-04-14 22:16:24.521 [main] WARN  org.apache.velocity.deprecation - configuration key 'file.resource.loader.class' has been deprecated in favor of 'resource.loader.file.class'
2025-04-14 22:21:22.965 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.asa.back.mapper]' package. Please check your configuration.
2025-04-14 22:40:21.545 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.asa.back.mapper]' package. Please check your configuration.
2025-04-14 22:41:38.184 [http-nio-8888-exec-1] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [java.lang.NullPointerException]
2025-04-14 22:42:38.665 [http-nio-8888-exec-6] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [java.lang.NullPointerException]
2025-04-14 22:46:16.088 [http-nio-8888-exec-2] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [java.lang.NullPointerException]
2025-04-14 22:47:22.746 [http-nio-8888-exec-7] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [java.lang.NullPointerException]
2025-04-14 22:49:59.009 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.asa.back.mapper]' package. Please check your configuration.
2025-04-14 22:56:44.355 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.asa.back.mapper]' package. Please check your configuration.
2025-04-14 23:53:51.203 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.asa.back.mapper]' package. Please check your configuration.
